id,date,store_nbr,item_nbr,unit_sales,onpromotion,class,outlier_flag,holiday_flag,expanding_mean,rolling_std_7,rolling_mean_7,dcoilwtico
16323662,2014-01-01,36,106716,3.0,0.0,1032,0,1,3.0,,,
16352784,2014-01-02,24,106716,2.0,0.0,1032,0,0,2.5,,,95.14
16355696,2014-01-02,26,106716,8.0,0.0,1032,0,0,4.333333333333333,,,95.14
16356847,2014-01-02,27,106716,4.0,0.0,1032,0,0,4.25,,,95.14
16358285,2014-01-02,28,106716,3.0,0.0,1032,0,0,4.0,,,95.14
16359628,2014-01-02,30,106716,1.0,0.0,1032,0,0,3.5,,,95.14
16361914,2014-01-02,32,106716,7.0,0.0,1032,0,0,4.0,2.581988897471611,4.0,95.14
16363742,2014-01-02,34,106716,6.0,0.0,1032,0,0,4.25,2.63673679998231,4.428571428571429,95.14
16365073,2014-01-02,35,106716,4.0,0.0,1032,0,0,4.222222222222222,2.4299715851758235,4.714285714285714,95.14
16365893,2014-01-02,36,106716,13.605467546210788,0.0,1032,0,0,5.160546754621079,4.066059006889872,5.515066792315827,95.14
16388891,2014-01-02,51,106716,2.0,0.0,1032,0,0,4.873224322382799,4.256090805792256,5.229352506601542,95.14
16418876,2014-01-03,24,106716,7.0,0.0,1032,0,0,5.050455628850899,4.174632106433045,5.800781078030113,93.66
16421837,2014-01-03,26,106716,7.0,0.0,1032,0,0,5.200420580477753,3.601228708490829,6.6579239351729695,93.66
16422931,2014-01-03,27,106716,4.0,0.0,1032,0,0,5.114676253300771,3.729944561484229,6.229352506601542,93.66
16424329,2014-01-03,28,106716,2.0,0.0,1032,0,0,4.907031169747386,4.06251203808622,5.6579239351729695,93.66
16427734,2014-01-03,32,106716,2.0,0.0,1032,0,0,4.725341721638174,4.263884995455749,5.372209649458684,93.66
16429512,2014-01-03,34,106716,6.0,0.0,1032,0,0,4.800321620365341,2.36038737740833,4.285714285714286,93.66
16430825,2014-01-03,35,106716,2.0,0.0,1032,0,0,4.644748197011711,2.3603873774083306,4.285714285714286,93.66
16431624,2014-01-03,36,106716,7.0,0.0,1032,0,0,4.76870881822162,2.3603873774083306,4.285714285714286,93.66
16454055,2014-01-03,51,106716,2.0,0.0,1032,0,0,4.630273377310539,2.149196970742241,3.571428571428572,93.66
16485554,2014-01-04,24,106716,1.0,0.0,1032,0,0,4.457403216486228,2.3401261667248807,3.142857142857143,93.66
16488521,2014-01-04,26,106716,3.0,0.0,1032,0,0,4.391157615736854,2.288688541085319,3.2857142857142856,93.66
16489674,2014-01-04,27,106716,3.0,0.0,1032,0,0,4.330672502009165,2.2253945610567487,3.4285714285714284,93.66
16491219,2014-01-04,28,106716,3.0,0.0,1032,0,0,4.27522781442545,1.9148542155126784,3.0,93.66
16492658,2014-01-04,30,106716,2.0,0.0,1032,0,0,4.184218701848431,1.9148542155126784,3.0,93.66
16495038,2014-01-04,32,106716,1.0,0.0,1032,0,0,4.061748751777338,0.8997354108424435,2.142857142857143,93.66
